"dip_dir:0"	"dip_dir:1"	"dip_dir:2"	"normal_dir:0"	"normal_dir:1"	"normal_dir:2"	"strike_dir:0"	"strike_dir:1"	"strike_dir:2"	"Points:0"	"Points:1"	"Points:2"
0.95365502	-0.1880753	0.21409097	-0.20785655	0.039209651	0.97711855	-0.19219735	-0.97639927	0	36370.746	-18924.361	-4623.5806
0.48060594	-0.83875816	0.20297797	-0.10026856	0.16829375	0.98002596	-0.85625494	-0.49145445	0	-485.41135	3224.948	-7707.0166
0.78625283	-0.58866338	0.18763229	-0.15005069	0.11239246	0.98223498	-0.59933501	-0.80049151	0	-27238.07	19302.395	-14064.087
0.78869393	-0.58623666	0.18508662	-0.1483832	0.11030809	0.98275135	-0.59655088	-0.80256384	0	-26908.363	19104.252	-13985.2
0.96321439	-0.14671373	0.14215761	-0.13559247	0.017667882	0.99027278	-0.14785147	-0.97318143	0	34799.629	-17980.17	-4918.3828
0.96118021	-0.18245014	0.19609171	-0.19074737	0.033772632	0.98078947	-0.1856432	-0.98046842	0	36036.398	-18723.428	-4699.8872
0.70301469	-0.65757021	0.24130869	-0.17592187	0.15520318	0.97127926	-0.67661052	-0.72573521	0	-2079.7795	4183.1094	-8086.6299
0.87485978	-0.47701271	0.075231775	-0.065667792	0.035620996	0.99719937	-0.47835934	-0.87735422	0	8232.2383	-2014.0653	-6642.144
0.80433085	-0.58113364	0.08391136	-0.067299885	0.048500231	0.99652452	-0.58318639	-0.80718195	0	6965.6587	-1252.8938	-6756.7495
0.67618915	0.60165375	0.3035258	-0.20214495	-0.1783685	0.95975524	0.63195276	-0.71070295	0	-17512.324	13457.548	-13934.839
0.83454501	0.43862802	0.32033697	-0.25643286	-0.14916809	0.95406183	0.46682022	-0.87934206	0	-16965.023	13128.639	-13887.201
0.25107077	0.94821804	0.11398533	-0.011118865	-0.080044373	0.99659088	0.95466776	-0.25162853	0	-22309.688	16340.603	-13479.171
0.24547925	0.95890556	0.1143277	-0.010718529	-0.081402905	0.99657219	0.96548995	-0.24603571	0	-22284.498	16325.464	-13477.489
0.70931009	-0.61594579	0.34276186	-0.25879715	0.22472886	0.93942372	-0.6556652	-0.75505155	0	-62422.84	40447.254	-24800.463
0.78048215	-0.59121931	0.20324052	-0.16200792	0.12270124	0.97913115	-0.6038191	-0.79712097	0	-28509.34	20066.385	-14363.121
0.70386797	-0.61377811	0.35754635	-0.26947484	0.2349808	0.93389552	-0.65722538	-0.75369374	0	-64673.219	41799.656	-25766.955
0.70757799	-0.61526323	0.34742714	-0.26216118	0.22797009	0.93766927	-0.65616714	-0.75461432	0	-63132.305	40873.617	-25106.82
0.97023916	0.22534608	0.082118535	-0.078205527	-0.019125813	0.99673793	0.22618637	-0.97351972	0	28450.697	-14164.677	-5623.8789
-0.092580472	0.95326935	0.21605724	0.009706515	-0.18612779	0.98193131	0.97675433	0.093099168	0	-20035.992	14974.188	-13770.19
0.75172224	-0.61248062	0.24449293	-0.18952778	0.15443581	0.96965265	-0.63165345	-0.77524953	0	-44254.535	29528.717	-18450.543
0.68254503	0.71823405	0.034800173	-0.022746879	-0.023490928	0.99945338	0.71866474	-0.68296602	0	21564.76	-10026.461	-5470.5049
0.4304131	0.89452504	0.035565874	-0.014519201	-0.029564717	0.99944392	0.89508819	-0.43069601	0	22011.35	-10294.847	-5469.6548
0.99594005	-0.052862713	0.072358915	-0.072144655	0.0038753373	0.99738528	-0.053005115	-0.99855868	0	18243.695	-8030.6138	-5628.209
0.90004752	-0.24954945	0.35572979	-0.34237311	0.093560016	0.9346679	-0.26660935	-0.96333137	0	-6523.2334	6853.4756	-9740.4297
0.89663001	-0.26839097	0.35202633	-0.33674652	0.099795703	0.93624975	-0.28643216	-0.9580887	0	-6172.2451	6642.5435	-9578.29
0.47193816	-0.85425573	0.11449798	-0.054572571	0.094456528	0.99379377	-0.85980308	-0.47531082	0	4118.1372	458.37057	-7050.7534
0.54205444	-0.82986875	0.10523289	-0.057330336	0.084232003	0.99467524	-0.83446556	-0.54532126	0	4692.6431	113.11187	-7002.0884
0.93675996	-0.20952572	0.28000519	-0.27318062	0.061083259	0.96001363	-0.21825132	-0.97579458	0	38664.387	-20302.76	-3954.3125
0.93503271	-0.21503355	0.28184002	-0.27465057	0.063135037	0.959466	-0.2241121	-0.97454233	0	38975.906	-20489.975	-3852.6794
0.76318209	-0.60495779	0.22709868	-0.17795106	0.1410768	0.9738724	-0.62119203	-0.78365693	0	-39598.621	26730.668	-17148.482
0.9371063	-0.21195203	0.27699809	-0.27005516	0.060974717	0.96089911	-0.22055745	-0.97528038	0	38420.32	-20156.086	-4033.4341
0.98646476	-0.055871287	0.11534432	-0.1134066	0.0048870549	0.99343842	-0.056071758	-0.99313019	0	31408.844	-15942.424	-5326.6074
0.91686484	0.38541063	0.04155879	-0.037485756	-0.015457384	0.99916816	0.38573527	-0.91766423	0	20895.279	-9624.126	-5483.4229
0.79473852	0.5952334	0.037035262	-0.029013048	-0.020307872	0.99935116	0.59561558	-0.79531802	0	21282.617	-9856.9033	-5474.729
0.93542459	-0.21289059	0.28221678	-0.2751698	0.062624034	0.95935258	-0.22191102	-0.97506099	0	39114.289	-20573.137	-3807.3044
0.97833317	-0.18701917	0.088636326	-0.087013136	0.016683551	0.99606684	-0.18776257	-0.98219872	0	15549.917	-6411.7437	-5863.355
0.97687257	-0.19375451	0.090126831	-0.088352857	0.017583472	0.99593221	-0.19455173	-0.98086494	0	15336.518	-6283.4976	-5884.4502
