x,y,vp,vs,density
-35000.0,-185000.0,8.426682398289184,4.816682398289183,3440.0
-32500.0,-185000.0,8.428140944191208,4.818140944191208,3440.0
-30000.0,-185000.0,8.429599530107177,4.819599530107178,3440.0
-27500.0,-185000.0,8.43,4.82,3440.0000000000005
-25000.0,-185000.0,8.43,4.82,3440.0
-22500.0,-185000.0,8.43,4.82,3439.9999999999995
-20000.0,-185000.0,8.43,4.82,3440.0
-17500.0,-185000.0,8.43,4.82,3440.0
-15000.0,-185000.0,8.43,4.82,3440.0
-12500.0,-185000.0,8.43,4.82,3440.0
-10000.0,-185000.0,8.43,4.82,3440.0
-7500.0,-185000.0,8.43,4.82,3440.0
-5000.0,-185000.0,8.43,4.82,3440.0
-2500.0,-185000.0,8.43,4.82,3439.9999999999995
0.0,-185000.0,8.43,4.82,3440.0
2500.0,-185000.0,8.43,4.82,3440.0
5000.0,-185000.0,8.43,4.82,3440.0
7500.0,-185000.0,8.43,4.82,3440.0
10000.0,-185000.0,8.43,4.82,3440.0
12500.0,-185000.0,8.43,4.82,3440.0
15000.0,-185000.0,8.43,4.82,3440.0
17500.0,-185000.0,8.43,4.82,3440.0
20000.0,-185000.0,8.43,4.82,3440.0000000000005
22500.0,-185000.0,8.43,4.82,3439.9999999999995
25000.0,-185000.0,8.43,4.82,3440.0000000000005
27500.0,-185000.0,8.43,4.82,3440.0
30000.0,-185000.0,8.43,4.82,3440.0000000000005
32500.0,-185000.0,8.43,4.82,3440.0
35000.0,-185000.0,8.430000000000001,4.820000000000001,3440.0000000000005
37500.0,-185000.0,8.43,4.819999999999999,3440.0
40000.0,-185000.0,8.43,4.82,3440.0
42500.0,-185000.0,8.43,4.819999999999999,3440.0
45000.0,-185000.0,8.43,4.82,3440.0
47500.0,-185000.0,8.43,4.820000000000001,3440.0
50000.0,-185000.0,8.43,4.82,3440.0000000000005
55000.0,-185000.0,8.430416457089985,4.819999999999999,3440.4164570899866
60000.0,-185000.0,8.43165745741531,4.82,3441.657457415311
65000.0,-185000.0,8.432898525178686,4.82,3442.8985251786844
70000.0,-185000.0,8.434139660348366,4.820000000000001,3444.1396603483663
75000.0,-185000.0,8.435380862892607,4.82,3445.3808628926063
80000.0,-185000.0,8.436622132779645,4.82,3446.6221327796447
85000.0,-185000.0,8.437863469977717,4.82,3447.8634699777167
90000.0,-185000.0,8.439104874455044,4.82,3449.1048744550444
95000.0,-185000.0,8.440277076943874,4.820277076943874,3450.0000000000005
100000.0,-185000.0,8.441270308096254,4.821270308096252,3449.9999999999995
110000.0,-185000.0,8.443256931616851,4.823256931616852,3450.0000000000005
120000.0,-185000.0,8.445243769922202,4.825243769922201,3450.0
130000.0,-185000.0,8.44723082280855,4.827230822808551,3450.0
